event,start,end,hours,peak
nursery-2 100 L pH outside 5.5–6.5,2026-09-14 18:10:00+07:00,2026-09-14 18:30:00+07:00,0.5,7.22
nursery-2 100 L pH outside 5.5–6.5,2026-09-14 16:50:00+07:00,2026-09-14 17:10:00+07:00,0.5,7.22
nursery-2 100 L pH outside 5.5–6.5,2026-09-14 15:40:00+07:00,2026-09-14 16:00:00+07:00,0.5,7.23
nursery-2 100 L pH outside 5.5–6.5,2026-09-14 14:10:00+07:00,2026-09-14 15:20:00+07:00,1.3,7.21
nursery-2 100 L pH outside 5.5–6.5,2026-09-14 12:10:00+07:00,2026-09-14 13:50:00+07:00,1.8,7.22
nursery-2 100 L pH outside 5.5–6.5,2026-09-14 11:30:00+07:00,2026-09-14 11:50:00+07:00,0.5,7.21
nursery-2 100 L pH outside 5.5–6.5,2026-09-14 10:40:00+07:00,2026-09-14 11:10:00+07:00,0.7,7.19
nursery-2 100 L pH outside 5.5–6.5,2026-09-14 09:00:00+07:00,2026-09-14 10:20:00+07:00,1.5,7.21
nursery-2 100 L pH outside 5.5–6.5,2026-09-14 07:10:00+07:00,2026-09-14 08:40:00+07:00,1.7,7.24
nursery-2 100 L pH outside 5.5–6.5,2026-09-12 19:00:00+07:00,2026-09-14 06:50:00+07:00,36.0,7.21
nursery-2 100 L pH outside 5.5–6.5,2026-09-12 15:30:00+07:00,2026-09-12 18:40:00+07:00,3.3,7.16
growing 200 L pH outside 5.5–6.5,2026-09-12 14:50:00+07:00,2026-09-12 15:40:00+07:00,1.0,6.67
growing 200 L pH outside 5.5–6.5,2026-09-12 13:50:00+07:00,2026-09-12 14:30:00+07:00,0.8,6.75
growing 200 L pH outside 5.5–6.5,2026-09-12 13:00:00+07:00,2026-09-12 13:20:00+07:00,0.5,6.91
growing 200 L |EC − setpoint| > 0.3,2026-09-12 12:20:00+07:00,2026-09-12 12:50:00+07:00,0.7,1.26
growing 200 L pH outside 5.5–6.5,2026-09-12 10:40:00+07:00,2026-09-12 12:40:00+07:00,2.2,7.4
nursery-2 100 L pH outside 5.5–6.5,2026-09-10 10:50:00+07:00,2026-09-10 11:10:00+07:00,0.5,6.86
nursery-2 100 L pH outside 5.5–6.5,2026-09-10 03:10:00+07:00,2026-09-10 04:00:00+07:00,1.0,6.91
nursery-2 100 L pH outside 5.5–6.5,2026-09-10 02:00:00+07:00,2026-09-10 02:20:00+07:00,0.5,6.93
nursery-2 100 L pH outside 5.5–6.5,2026-09-10 01:10:00+07:00,2026-09-10 01:40:00+07:00,0.7,6.96
nursery-2 100 L pH outside 5.5–6.5,2026-09-10 00:10:00+07:00,2026-09-10 00:50:00+07:00,0.8,6.94
nursery-2 100 L pH outside 5.5–6.5,2026-09-09 23:00:00+07:00,2026-09-09 23:30:00+07:00,0.7,6.93
nursery-2 100 L pH outside 5.5–6.5,2026-09-09 22:10:00+07:00,2026-09-09 22:40:00+07:00,0.7,6.95
nursery-2 100 L pH outside 5.5–6.5,2026-09-09 21:00:00+07:00,2026-09-09 21:20:00+07:00,0.5,6.9
nursery-2 100 L pH outside 5.5–6.5,2026-09-09 19:30:00+07:00,2026-09-09 19:50:00+07:00,0.5,6.87
nursery-2 100 L pH outside 5.5–6.5,2026-09-09 14:00:00+07:00,2026-09-09 18:40:00+07:00,4.8,6.92
nursery-2 100 L pH outside 5.5–6.5,2026-09-09 11:30:00+07:00,2026-09-09 13:40:00+07:00,2.3,6.94
nursery-2 100 L pH outside 5.5–6.5,2026-09-09 08:50:00+07:00,2026-09-09 11:10:00+07:00,2.5,6.93
nursery-2 100 L pH outside 5.5–6.5,2026-09-08 23:20:00+07:00,2026-09-09 08:30:00+07:00,9.3,6.89
nursery-2 100 L pH outside 5.5–6.5,2026-09-08 22:10:00+07:00,2026-09-08 22:40:00+07:00,0.7,6.8
growing 200 L pH outside 5.5–6.5,2026-09-08 22:00:00+07:00,2026-09-08 22:20:00+07:00,0.5,6.95
nursery-2 100 L pH outside 5.5–6.5,2026-09-08 13:20:00+07:00,2026-09-08 21:50:00+07:00,8.7,6.85
nursery-2 100 L pH outside 5.5–6.5,2026-09-07 23:20:00+07:00,2026-09-08 13:00:00+07:00,13.8,6.79
nursery-2 100 L pH outside 5.5–6.5,2026-09-07 21:30:00+07:00,2026-09-07 23:00:00+07:00,1.7,6.76
nursery-2 100 L pH outside 5.5–6.5,2026-09-07 20:20:00+07:00,2026-09-07 21:10:00+07:00,1.0,6.7
nursery-2 100 L pH outside 5.5–6.5,2026-09-07 18:20:00+07:00,2026-09-07 20:00:00+07:00,1.8,6.76
nursery-2 100 L pH outside 5.5–6.5,2026-09-07 12:10:00+07:00,2026-09-07 18:00:00+07:00,6.0,6.75
nursery-2 100 L pH outside 5.5–6.5,2026-09-07 10:30:00+07:00,2026-09-07 10:50:00+07:00,0.5,6.7
growing 200 L pH outside 5.5–6.5,2026-09-06 19:10:00+07:00,2026-09-06 21:10:00+07:00,2.2,6.93
nursery-2 100 L pH outside 5.5–6.5,2026-09-06 19:00:00+07:00,2026-09-06 20:00:00+07:00,1.2,6.61
nursery-2 100 L pH outside 5.5–6.5,2026-09-06 17:40:00+07:00,2026-09-06 18:00:00+07:00,0.5,6.57
growing 200 L pH outside 5.5–6.5,2026-09-06 16:10:00+07:00,2026-09-06 18:20:00+07:00,2.3,6.91
nursery-2 100 L pH outside 5.5–6.5,2026-09-06 14:20:00+07:00,2026-09-06 15:30:00+07:00,1.3,6.55
nursery-2 100 L pH outside 5.5–6.5,2026-09-06 09:50:00+07:00,2026-09-06 10:50:00+07:00,1.2,6.52
growing 200 L pH outside 5.5–6.5,2026-09-05 23:30:00+07:00,2026-09-06 13:50:00+07:00,14.5,6.91
growing 200 L pH outside 5.5–6.5,2026-09-05 16:30:00+07:00,2026-09-05 23:10:00+07:00,6.8,6.89
growing 200 L pH outside 5.5–6.5,2026-09-05 15:20:00+07:00,2026-09-05 16:10:00+07:00,1.0,6.85
growing 200 L pH outside 5.5–6.5,2026-09-05 10:50:00+07:00,2026-09-05 15:00:00+07:00,4.3,6.84
growing 200 L pH outside 5.5–6.5,2026-09-05 00:20:00+07:00,2026-09-05 10:30:00+07:00,10.3,6.83
growing 200 L pH outside 5.5–6.5,2026-09-04 22:40:00+07:00,2026-09-04 23:40:00+07:00,1.2,6.74
growing 200 L pH outside 5.5–6.5,2026-09-04 21:30:00+07:00,2026-09-04 22:20:00+07:00,1.0,6.72
growing 200 L pH outside 5.5–6.5,2026-09-04 17:10:00+07:00,2026-09-04 20:40:00+07:00,3.7,6.86
growing 200 L pH outside 5.5–6.5,2026-09-04 12:00:00+07:00,2026-09-04 16:50:00+07:00,5.0,6.76
growing 200 L pH outside 5.5–6.5,2026-09-04 10:40:00+07:00,2026-09-04 11:40:00+07:00,1.2,6.68
growing 200 L pH outside 5.5–6.5,2026-09-04 07:30:00+07:00,2026-09-04 10:20:00+07:00,3.0,6.7
growing 200 L pH outside 5.5–6.5,2026-09-03 22:50:00+07:00,2026-09-04 07:10:00+07:00,8.5,6.68
growing 200 L pH outside 5.5–6.5,2026-09-03 19:30:00+07:00,2026-09-03 22:30:00+07:00,3.2,6.61
growing 200 L pH outside 5.5–6.5,2026-09-03 13:00:00+07:00,2026-09-03 16:20:00+07:00,3.5,6.93
growing 200 L pH outside 5.5–6.5,2026-09-03 08:50:00+07:00,2026-09-03 12:40:00+07:00,4.0,7.07
growing 200 L pH outside 5.5–6.5,2026-09-03 07:20:00+07:00,2026-09-03 08:30:00+07:00,1.3,7.06
growing 200 L pH outside 5.5–6.5,2026-09-02 22:30:00+07:00,2026-09-03 07:00:00+07:00,8.7,7.07
growing 200 L pH outside 5.5–6.5,2026-09-02 21:10:00+07:00,2026-09-02 22:10:00+07:00,1.2,6.97
growing 200 L pH outside 5.5–6.5,2026-09-02 07:50:00+07:00,2026-09-02 20:50:00+07:00,13.2,6.95
growing 200 L pH outside 5.5–6.5,2026-09-02 01:40:00+07:00,2026-09-02 07:30:00+07:00,6.0,6.76
growing 200 L pH outside 5.5–6.5,2026-09-01 23:30:00+07:00,2026-09-02 01:20:00+07:00,2.0,6.72
growing 200 L pH outside 5.5–6.5,2026-09-01 21:10:00+07:00,2026-09-01 23:10:00+07:00,2.2,6.74
growing 200 L pH outside 5.5–6.5,2026-09-01 20:20:00+07:00,2026-09-01 20:50:00+07:00,0.7,6.66
growing 200 L pH outside 5.5–6.5,2026-09-01 19:00:00+07:00,2026-09-01 20:00:00+07:00,1.2,6.58
growing 200 L pH outside 5.5–6.5,2026-09-01 18:20:00+07:00,2026-09-01 18:40:00+07:00,0.5,6.54
growing 200 L pH outside 5.5–6.5,2026-09-01 17:30:00+07:00,2026-09-01 18:00:00+07:00,0.7,6.54
nursery-2 100 L pH outside 5.5–6.5,2026-08-31 12:30:00+07:00,2026-08-31 16:30:00+07:00,4.2,7.09
nursery-2 100 L pH outside 5.5–6.5,2026-08-31 10:00:00+07:00,2026-08-31 12:10:00+07:00,2.3,7.1
nursery-2 100 L pH outside 5.5–6.5,2026-08-29 00:20:00+07:00,2026-08-29 00:50:00+07:00,0.7,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-28 23:10:00+07:00,2026-08-29 00:00:00+07:00,1.0,5.37
growing 200 L pH outside 5.5–6.5,2026-08-27 07:30:00+07:00,2026-08-27 07:50:00+07:00,0.5,5.41
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-26 23:00:00+07:00,2026-08-27 00:10:00+07:00,1.3,0.32
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-26 22:10:00+07:00,2026-08-26 22:30:00+07:00,0.5,0.33
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-26 18:30:00+07:00,2026-08-26 21:50:00+07:00,3.5,0.34
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-26 07:30:00+07:00,2026-08-26 14:20:00+07:00,7.0,0.38
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-26 00:10:00+07:00,2026-08-26 07:10:00+07:00,7.2,0.41
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-25 23:30:00+07:00,2026-08-25 23:50:00+07:00,0.5,0.39
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-25 18:50:00+07:00,2026-08-25 23:10:00+07:00,4.5,0.41
