column,n,range,removed
co2.CO2,4979,300–5000,13
co2.VOC,1210,0–1000,7
co2.VPD,4829,0–6,9
co2.humidity,4794,5–100,145
co2.pressure,4849,95–106,86
co2.temperature,4924,5–50,17
gc1.ambHumidity,11741,5–100,0
gc1.ambTemperature,11741,5–60,0
gc1.ec,11741,0.1–6,56
gc1.ph,11741,3–10,0
gc2.ambHumidity,11101,5–100,0
gc2.ambTemperature,11101,5–60,0
gc2.ec,11101,0.1–6,18
gc2.ph,11101,3–10,0
gc2.rssiWiFi,2,,0
gw.waterLevel_1,3435,,0
gw.xy_md_20_h,3441,5–100,0
gw.xy_md_20_t,3441,5–50,0
gw.xy_md_21_h,3451,5–100,0
gw.xy_md_21_t,3451,5–50,0
gw.xy_md_22_h,3443,5–100,0
gw.xy_md_22_t,3443,5–50,0
gw.xy_md_23_h,3432,5–100,0
gw.xy_md_23_t,3432,5–50,0
gw.xy_md_24_h,3445,5–100,0
gw.xy_md_24_t,3445,5–50,0
co2.Relay_co2,582,,0
gc1.alarmEC,1,,0
gc1.currentStageBrightness1,874,,0
gc1.currentStageBrightness2,874,,0
gc1.currentStageBrightness3,874,,0
gc1.currentStageBrightness4,874,,0
gc1.ecDosingCount,874,,0
gc1.ecSetPoint,874,,0
gc1.led,874,,0
gc1.mode,874,,0
gc1.pHDosingCount,874,,0
gc1.pHSetPoint,874,,0
gc1.plantDay,874,,0
gc1.pumpA,874,,0
gc1.pumpB,874,,0
gc1.pumpPH,874,,0
gc1.pwmWater,874,,0
gc1.stage,874,,0
gc2.alarmEC,1,,0
gc2.currentStageBrightness1,649,,0
gc2.currentStageBrightness2,649,,0
gc2.currentStageBrightness3,649,,0
gc2.currentStageBrightness4,649,,0
gc2.ecDosingCount,649,,0
gc2.ecSetPoint,649,,0
gc2.led,649,,0
gc2.mode,649,,0
gc2.pHDosingCount,649,,0
gc2.pHSetPoint,649,,0
gc2.plantDay,649,,0
gc2.pumpA,649,,0
gc2.pumpB,649,,0
gc2.pumpPH,649,,0
gc2.pwmWater,649,,0
gc2.stage,649,,0
