photoperiod_h,dim_pct,PPFD,DLI,kWh_LED,kWh_AC,kWh_total,THB_day,cooling_lit_kW,days_to_150g
12,60,70,3.0,12.1,13.3,46.3,208,2.22,62.1
12,80,93,4.0,16.1,14.6,51.7,232,2.56,50.7
12,100,116,5.0,20.2,16.0,57.0,257,2.89,43.4
14,60,70,3.5,14.1,14.0,49.0,221,2.22,55.7
14,80,93,4.7,18.8,15.6,55.3,249,2.56,45.5
14,100,116,5.9,23.5,17.2,61.6,277,2.89,39.0
16,60,70,4.0,16.1,14.8,51.8,233,2.22,50.7
16,80,93,5.4,21.5,16.6,59.0,265,2.56,41.5
16,100,116,6.7,26.9,18.4,66.1,298,2.89,35.5
18,60,70,4.5,18.1,15.5,54.6,246,2.22,46.7
18,80,93,6.0,24.2,17.6,62.6,282,2.56,38.2
18,100,116,7.5,30.2,19.6,70.7,318,2.89,32.7
